FMID,MarketName,Website,Facebook,Facebook_Link,Twitter,Twitter_Link,Youtube,Youtube_Link,OtherMedia,OtherMedia_Link,street,street_valid,city,city_valid,County,County_valid,State,zip,zip_valid,full_address,Season1Date,Season1StartDate,Season1EndDate,Season1Time,Season2Date,Season2StartDate,Season2EndDate,Season2Time,Season3Date,Season3StartDate,Season3EndDate,Season3Time,Season4Date,Season4StartDate,Season4EndDate,Season4Time,longitude,latitude,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Organic_valid,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1018261, Caledonia Farmers Market Association - Danville,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,,,,,,,Danville,Danville,Caledonia,Caledonia,Vermont,05828,05828,,06/14/2017 to 08/30/2017,2017-06-14T00:00:00Z,2017-08-30T00:00:00Z,Wed: 9:00 AM-1:00 PM;,09/06/2017 to 10/18/2017,2017-09-06T00:00:00Z,2017-10-18T00:00:00Z,Wed: 2:00 PM-6:00 PM;,,,,,,,,,-72.140337,44.411035999999996,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,2017-06-20T22:43:57Z
1018318, Stearns Homestead Farmers' Market,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,,,,,,6975 Ridge Road,6975 Ridge Road,Parma ,Parma,Cuyahoga,Cuyahoga,Ohio,,,,06/24/2017 to 09/30/2017,2017-06-24T00:00:00Z,2017-09-30T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-81.7339387,41.3748009,,Y,N,N,Y,N,-,,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2017-06-21T17:15:01Z
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,,,,,,,,106 S. Main Street,106 S. Main,Six Mile,Six Mile,,,South Carolina,29682,29682,"106 S. Main, Six Mile, South Carolina 29682",,,,,,,,,,,,,,,,,-82.8187,34.8042,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01T01:00:00Z
1010691,10th Steet Community Farmers Market,,,,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,,Lamar ,Lamar,Barton,Barton,Missouri,64759,64759,,04/02/2014 to 11/30/2014,2014-04-02T00:00:00Z,2014-11-30T00:00:00Z,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,,,,,,,-94.2746191,37.495628,,Y,N,N,N,N,-,,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2014-10-28T09:49:46Z
1002454,112st Madison Avenue,,,,,,,,,,112th Madison Avenue,,New York,New York,New York,New York,New York,10029,10029,,July to November,,,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,,,,,,,-73.9493,40.7939,Private business parking lot,N,N,Y,Y,N,-,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-03-01T10:38:22Z
1011100,12 South Farmers Market,http://www.12southfarmersmarket.com,12_South_Farmers_Market,,@12southfrmsmkt,,,,@12southfrmsmkt,,3000 Granny White Pike,3000 Granny White,Nashville,Nashville,Davidson,Davidson,Tennessee,37204,37204,"3000 Granny White, Nashville, Tennessee 37204",05/05/2015 to 10/27/2015,2015-05-05T00:00:00Z,2015-10-27T00:00:00Z,Tue: 3:30 PM-6:30 PM;,,,,,,,,,,,,,-86.79070899999999,36.11837,,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,2015-05-01T10:40:56Z
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,https://twitter.com/FarmMarket125th,,,Instagram--> 125thStreetFarmersMarket,,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",,New York,New York,New York,New York,New York,10027,10027,,06/10/2014 to 11/25/2014,2014-06-10T00:00:00Z,2014-11-25T00:00:00Z,Tue: 10:00 AM-7:00 PM;,,,,,,,,,,,,,-73.94824770000001,40.8089533,Federal/State government building grounds,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,2014-04-07T16:32:01Z
1005586,12th & Brandywine Urban Farm Market,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,,,https://www.facebook.com/delawareurbanfarmcoalition,https://www.facebook.com/delawareurbanfarmcoalition,12th & Brandywine Streets,,Wilmington,Wilmington,New Castle,New Castle,Delaware,19801,19801,,05/16/2014 to 10/17/2014,2014-05-16T00:00:00Z,2014-10-17T00:00:00Z,Fri: 8:00 AM-11:00 AM;,,,,,,,,,,,,,-75.53446,39.742117,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2014-04-03T15:43:31Z
1008071,14&U Farmers' Market,,https://www.facebook.com/14UFarmersMarket,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,https://twitter.com/14UFarmersMkt,,,,,1400 U Street NW ,1400 U Street,Washington,Washington,District of Columbia,District of Columbia,District of Columbia,20009,20009,"1400 U Street, Washington, District of Columbia 20009",05/03/2014 to 11/22/2014,2014-05-03T00:00:00Z,2014-11-22T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-77.0320505,38.9169984,Other,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,2014-04-05T13:49:04Z
1012710,14th & Kennedy Street Farmers Market,,https://www.facebook.com/14KennnedyFarmersMarket/,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,,,instagram:14kenfm,,"5500 Colorado Avenue, NW",5500 Colorado Avenue,Washington ,Washington,District of Columbia,District of Columbia,District of Columbia,20011,20011,"5500 Colorado Avenue, Washington, District of Columbia 20011",04/09/2016 to 11/19/2016,2016-04-09T00:00:00Z,2016-11-19T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-77.03344859999999,38.9559783,,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,2016-07-20T11:16:24Z
1016782,175th Street Greenmarket,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,https://www.facebook.com/ManhattanGreenmarkets/,,,,,,,175th Street between Wadsworth & Broadway,,New York ,New York,New York,New York,New York,10033,10033,,06/29/2017 to 11/22/2017,2017-06-29T00:00:00Z,2017-11-22T00:00:00Z,Tue: 8:00 AM-6:00 PM;,,,,,,,,,,,,,-73.93804899999999,40.846354,,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,12/16/2016 12:06:16 PM
1003877,17th Ave Market,http://www.iatp.org/minimarkets,,,,,,,,,1622 6th St NE,,Minneapolis,Minneapolis,Hennepin,Hennepin,Minnesota,55413,55413,,June to September,,,Wed:3:00 pm - 7:00 pm;,,,,,,,,,,,,,-93.2591,45.0044,"Faith-based institution (e.g., church, mosque, synagogue, temple)",N,Y,Y,Y,N,-,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011-04-28T14:33:54Z
1016784,17th Street Farmers Market,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,https://www.facebook.com/17thStreetFarmersMarket/,,,,,,,100 North 17th St.,,Richmond ,Richmond,Richmond City,Richmond City,Virginia,23219,23219,,06/08/2017 to ,,,Thu: 3:00 PM-6:30 PM;,,,,,,,,,,,,,-77.428364,37.53385,,Y,N,N,N,Y,-,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,N,12/29/2016 12:13:04 PM
1010968,18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,,,,,,18th Street and Christian Street,,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Pennsylvania,19146,19146,,06/01/2015 to 11/15/2015,2015-06-01T00:00:00Z,2015-11-15T00:00:00Z,Thu: 3:00 PM-7:00 PM;,,,,,,,,,,,,,-75.17343100000001,39.940943,,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,2015-03-24T15:33:48Z
1009994,18th Street Farmer's Market,,https://www.facebook.com/ScottsbluffFarmersMarket,https://www.facebook.com/ScottsbluffFarmersMarket,,,,,,,18th and Broadway,,Scottsbluff,Scottsbluff,Scotts Bluff,Scotts Bluff,Nebraska,69361,69361,,06/07/2014 to 09/27/2014,2014-06-07T00:00:00Z,2014-09-27T00:00:00Z,Sat: 8:00 AM-11:00 AM;,,,,,,,,,,,,,-103.662538,41.864268,,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N,2016-06-29T16:32:46Z
1018365,18th Street Farmers Market,,18th Street Farmers Market,,,,,,,,825 18th Street,,Charleston ,Charleston,Coles,Coles,Illinois,61920,61920,,05/20/2017 to 09/30/2017,2017-05-20T00:00:00Z,2017-09-30T00:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,,,,,,,-88.1622392,39.490714399999995,,Y,Y,N,Y,Y,-,,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2017-06-23T08:02:15Z
1012790,19/27 Community Farmers Market,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,,,,,NE 7th Ave,,Chiefland,Chiefland,Levy,Levy,Florida,32626,32626,,09/03/2016 to 06/24/2017,2016-09-03T00:00:00Z,2017-06-24T00:00:00Z,Sat: 8:30 AM-1:00 PM;,09/02/2017 to 06/30/2018,2017-09-02T00:00:00Z,2018-06-30T00:00:00Z,Sat: 8:30 AM-1:00 PM;,,,,,,,,,-82.85787320000001,29.484854100000003,,Y,N,N,N,N,-,,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,2016-08-19T16:07:34Z
